restaurant_id,category,name,description,price
1360,Sweets,Cinnabon Delights® 2 Pack,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar",1.91 USD
1360,Sweets,Cinnabon Delights® 12 Pack,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar.",7.43 USD
1360,Sides,Chips and Nacho Cheese Sauce,Nacho chips with a side of warm nacho cheese sauce for dipping.,2.15 USD
1360,Sides,Black Beans,"Savory black beans. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",1.79 USD
1360,Sides,Black Beans and Rice,"Black beans served with seasoned rice. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",1.79 USD
1360,Sides,Cinnamon Twists,"Crispy, puffed corn twists sprinkled with cinnamon and sugar.",1.2 USD
1360,Sides,Cinnabon Delights® 2 Pack,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar",1.91 USD
1360,Sides,Cinnabon Delights® 12 Pack,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar.",7.43 USD
1360,Sides,Mild Sauce Packet,,0.0 USD
1360,Sides,Hot Sauce Packet,,0.0 USD
1360,Sides,Fire Sauce Packet,,0.0 USD
1360,Sides,Diablo Sauce Packet,,0.0 USD
1360,Sides,Nacho Cheese Sauce,,0.83 USD
1360,Sides,Reduced-Fat Sour Cream,,0.47 USD
1360,Sides,Creamy Jalapeño Sauce,,0.23 USD
1360,Sides,Guacamole,,0.59 USD
1360,Sides,Chipotle Sauce,,0.36 USD
1360,Sides,Avocado Ranch Sauce,,0.23 USD
1360,Sides,Spicy Ranch,,0.36 USD
1360,Drinks,Cherry Sunrise Freeze,"A sweet, cherry-flavored Freeze with a tropical swirl of pineapple orange flavor.",3.47 USD
1360,Drinks,Mountain Dew Baja Blast® Freeze,Mountain Dew® Baja Blast in a frozen slushy drink.,3.47 USD
1360,Drinks,Wild Cherry Freeze,"A sweet, cherry-flavored Freeze.",3.47 USD
1360,Drinks,Blue Raspberry Freeze,"A sweet, juicy blue raspberry-flavored Freeze.",3.47 USD
1360,Drinks,Pepsi®,,2.39 USD
1360,Drinks,Diet Pepsi®,,2.39 USD
1360,Drinks,Pepsi® Zero Sugar,,2.39 USD
1360,Drinks,Cherry Pepsi®,,2.39 USD
1360,Drinks,Mountain Dew®,,2.39 USD
1360,Drinks,Diet Mountain Dew®,,2.39 USD
1360,Drinks,Mountain Dew Baja Blast®,,2.39 USD
1360,Drinks,Mountain Dew® Baja Blast™ Zero Sugar,,2.39 USD
1360,Drinks,Mug® Root Beer,,2.39 USD
1360,Drinks,Sierra Mist®,,2.39 USD
1360,Drinks,G2 Gatorade® Fruit Punch,,2.39 USD
1360,Drinks,Dole® Lemonade Strawberry Squeeze,,2.39 USD
1360,Drinks,Brisk® Mango Fiesta,,2.39 USD
1360,Drinks,Brisk® Dragon Paradise™ Sparkling Iced Tea,,2.39 USD
1360,Drinks,Lipton® Unsweetened Iced Tea,,2.39 USD
1360,Drinks,Premium Hot Coffee,Rainforest alliance certified™ coffee.,2.15 USD
1360,Drinks,Regular Iced Coffee,Rainforest alliance certified™ coffee poured over ice.,2.15 USD
1360,Drinks,Drinks Party Pack,Includes four Medium fountain drinks of your choice.,4.8 USD
1360,Bowls,Power Menu Bowl,"Seasoned rice and black beans topped with grilled chicken, avocado ranch sauce, reduced-fat sour cream, lettuce, tomatoes, real cheddar cheese and guacamole.",6.95 USD
1360,Bowls,Power Menu Bowl - Veggie,"Seasoned rice and black beans topped with avocado ranch sauce, reduced-fat sour cream, lettuce, tomatoes, real cheddar cheese and guacamole.",6.59 USD
1360,Veggie Cravings,Black Bean Toasted Cheddar Chalupa,"A Chalupa shell with 6-month aged cheddar toasted on the outside and with black beans, reduced-fat sour cream, tomatoes, lettuce, and cheddar cheese on the inside.",4.79 USD
1360,Veggie Cravings,Bean Burrito,"Warm flour tortilla filled with refried beans, shredded cheddar cheese, flavorful red sauce and diced onions. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",2.15 USD
1360,Veggie Cravings,Cheesy Bean and Rice Burrito,"A warm flour tortilla filled with refried beans, seasoned rice, nacho cheese sauce and creamy jalapeño sauce. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",1.2 USD
1360,Veggie Cravings,Black Bean Quesarito,"Cheese &amp; nacho cheese sauce quesadilla wrapped around a black bean, seasoned rice, reduced fat source cream &amp; chipotle sauce burrito. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat.",3.59 USD
1360,Veggie Cravings,Fiesta Veggie Burrito,"The Fiesta Veggie Burrito comes with Seasoned Rice, Black Beans, Red Strips, Creamy Chipotle Sauce, Reduced-Fat Sour Cream, a Three-Cheese Blend, Tomatoes, and Guacamole.",2.4 USD
